Filename,Type,Description,Key Features,Size Estimate
index-final.html,HTML,Home Page,"Hero with parallax, Profile card, Stats counter, Research areas, Footer",~8.5 KB
research-final.html,HTML,Research Projects,"Filterable cards, Expandable details, Project grid layout, Glass effect",~9.2 KB
publications-final.html,HTML,Publications,"Search functionality, Type filtering, Expandable abstracts, Citation copy button",~14.1 KB
teaching-final.html,HTML,Teaching & Courses,"Teaching philosophy, Course cards, Office hours, Testimonial carousel",~12.4 KB
contact-final.html,HTML,Contact Page,"Contact info cards, Interactive form, Validation, Social links, Success message",~8.6 KB
style-final.css,CSS,Complete Styling,"Light/Dark modes, Glassmorphism, Responsive grids, Animations, All components",~55+ KB
app-final.js,JavaScript,Complete Interactivity,"Theme toggle, Navigation, Animations, Filtering, Forms, Carousels, Counters",~15+ KB
README.md,Documentation,Project Documentation,"Setup guide, Features list, Browser compatibility, Customization tips",~8 KB
profile-picture.jpg,Image,"Profile Picture","Replace with your photo (150x150px recommended)",~50-100 KB

TOTAL PROJECT SIZE,Combined,All files together,,~180-200 KB

COLOR SCHEME - LIGHT MODE,CSS Variables:,
--bg-primary,#fcfcf9,Cream background
--text-primary,#134252,Dark teal text
--accent-primary,#21808d,Primary teal
--accent-tertiary,#2da6b2,Lighter teal

COLOR SCHEME - DARK MODE,CSS Variables:,
--bg-primary,#0f0f0f,Black background
--text-primary,#f5f5f5,Off-white text
--accent-primary,#32b8c6,Bright teal
--accent-tertiary,#21808d,Dark teal

RESPONSIVE BREAKPOINTS,Media Queries:,
Desktop,1200px+,Full layout with all features
Tablet,768px - 1199px,Adjusted grids hamburger menu
Mobile,320px - 767px,Single column optimized touch

FEATURES SUMMARY,Highlights:,
Theme Toggle,Light/Dark mode,Persistent with localStorage
Navigation,Smooth scrolling,Active page indicator
Animations,Scroll-triggered,60fps performance
Forms,Real-time validation,Email verification
Accessibility,WCAG AA compliant,Focus states included
Responsive,Mobile-first design,All breakpoints covered
